UF;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
ACRE;733558,999999984;34554,166894993;34212,4698305405;68766,6367255335;341,697064452506;0,00496893669260448;0,00466390158535868;0,00471048230544425;0,00937438389080293
AMAPÁ;669526,000000001;86281,334018602;36615,5063920338;122896,840410636;49665,8276265682;0,404126155404968;0,00546886997548023;0,0128869280683053;0,0183557980437855
AMAZONAS;3483984,99999991;176923,211769622;126919,002298614;303842,214068236;50004,2094710087;0,164572949892272;0,00364292619797781;0,00507818523241711;0,00872111143039492
MARANHÃO;6574788,99999968;269077,463346134;617958,040508723;887035,503854857;-348880,577162589;-0,393310725045878;0,00939890299914952;0,00409256423812455;0,0134914672372741
MATO GROSSO;3035121,99999972;393246,386032425;270988,269629339;664234,655661764;122258,116403086;0,184058623501483;0,00892841439748926;0,0129565264932501;0,0218849408907393
OUTRAS UFS;165281434,000009;9884669,28260367;9820274,40239815;19704943,6850018;64394,8802055232;0,0032679555564798;0,00594154719301238;0,00598050793932676;0,0119220551323391
PARÁ;7581051,00000035;457181,371298123;466825,324456101;924006,695754224;-9643,95315797871;-0,0104371031100665;0,00615779163675432;0,00603058034167164;0,012188371978426
RONDÔNIA;1562408,99999999;157228,773152903;136137,852261421;293366,625414324;21090,9208914812;0,0718927071601768;0,00871333000907074;0,0100632275641592;0,0187765575732299
RORAIMA;450479,000000001;63266,5876768486;26086,186732736;89352,7744095846;37180,4009441125;0,41610796295682;0,00579076643589068;0,014044292337012;0,0198350587729027
TOCANTINS;1383445,00000005;191442,570543242;177854,092828522;369296,663371764;13588,47771472;0,0367955604869377;0,0128558846089664;0,0138381049151383;0,0266939895241047
